untrustworthy_flag,turnout_2020_binary,voted_biden_2020,voted_trump_2020,age,female,digital_literacy_index,ideo5_linear,pid7_linear,socmed_use_linear,newsint_linear,intuse_linear,race4_Black,race4_Hispanic,race4_Other,educ4_HS or less,educ4_Postgrad,educ4_Some college,region_Northeast,region_South,region_West,presvote16post_condensed_Did Not Vote,presvote16post_condensed_Hillary Clinton,presvote16post_condensed_Other
0,1,1,0,71,1,4.166666666666667,1.0,1.0,5.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,1,0,54,0,3.0,3.0,3.0,3.0,3.0,4.0,0,0,0,1,0,0,0,1,0,0,1,0
0,1,1,0,51,0,5.0,3.0,3.0,2.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,1,0,67,0,2.0,3.0,1.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,0,74,1,4.0,1.0,1.0,1.0,3.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,0,1,64,0,2.3333333333333335,5.0,4.0,2.0,4.0,3.0,0,1,0,0,0,1,0,1,0,0,0,0
1,1,0,1,81,1,2.6666666666666665,4.0,7.0,6.0,3.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,0,23,0,5.0,1.0,3.0,3.0,4.0,4.0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,0,1,92,1,3.1666666666666665,3.0,6.0,3.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,1,83,0,2.0,5.0,7.0,1.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,1,64,0,3.8333333333333335,5.0,6.0,1.0,3.0,4.0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,0,52,0,5.0,3.0,4.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,44,0,3.3333333333333335,3.0,5.0,4.0,3.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,76,0,4.833333333333333,3.0,4.0,3.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,1,71,1,3.1666666666666665,4.0,7.0,2.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,1,0,69,1,2.6666666666666665,3.0,3.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,1,0,45,0,4.333333333333333,3.0,4.0,1.0,4.0,4.0,1,0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,60,0,4.333333333333333,2.0,1.0,2.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,0,1,67,1,4.5,4.0,7.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
